Code,Description
"001","Alabama"
"002","Alaska"
"004","Arizona"
"005","Arkansas"
"006","California"
"008","Colorado"
"009","Connecticut"
"010","Delaware"
"011","District Of Columbia"
"012","Florida"
"013","Georgia"
"015","Hawaii"
"016","Idaho"
"017","Illinois"
"018","Indiana"
"019","Iowa"
"020","Kansas"
"021","Kentucky"
"022","Louisiana"
"023","Maine"
"024","Maryland"
"025","Massachusetts"
"026","Michigan"
"027","Minnesota"
"028","Mississippi"
"029","Missouri"
"030","Montana"
"031","Nebraska"
"032","Nevada"
"033","New Hampshire"
"034","New Jersey"
"035","New Mexico"
"036","New York"
"037","North Carolina"
"038","North Dakota"
"039","Ohio"
"040","Oklahoma"
"041","Oregon"
"042","Pennsylvania"
"044","Rhode Island"
"045","South Carolina"
"046","South Dakota"
"047","Tennessee"
"048","Texas"
"049","Utah"
"050","Vermont"
"051","Virginia"
"053","Washington"
"054","West Virginia"
"055","Wisconsin"
"056","Wyoming"
"060","American Samoa"
"066","Guam"
"069","Northern Mariana Islands"
"072","Puerto Rico"
"078","Us Virgin Islands"
"096","Us Territory"
"100","Albania"
"102","Austria"
"103","Belgium"
"104","Bulgaria"
"105","Czechoslovakia"
"106","Denmark"
"108","Finland"
"109","France"
"110","Germany"
"112","West Berlin"
"116","Greece"
"117","Hungary"
"118","Iceland"
"119","Ireland"
"120","Italy"
"122","Liechtenstein"
"123","Luxembourg"
"124","Malta"
"125","Monaco"
"126","Netherlands"
"127","Norway"
"128","Poland"
"129","Portugal"
"130","Azores Islands"
"131","Madeira Islands"
"132","Romania"
"134","Spain"
"136","Sweden"
"137","Switzerland"
"138","United Kingdom"
"139","England"
"140","Scotland"
"141","Wales"
"142","Northern Ireland"
"147","Yugoslavia"
"148","Europe"
"182","Estonia"
"183","Latvia"
"184","Lithuania"
"186","Azerbaijan"
"187","Byelarus"
"189","Kazakhstan"
"190","Kyrgyzstan"
"192","Russia"
"194","Turkmenistan"
"195","Ukraine"
"196","Uzbekistan"
"200","Afghanistan"
"201","Bahrain"
"202","Bangladesh"
"205","Burma"
"206","Cambodia"
"207","China"
"208","Cyprus"
"209","Hong Kong"
"210","India"
"211","Indonesia"
"214","Israel"
"215","Japan"
"216","Jordan"
"217","Korea"
"218","South Korea"
"219","North Korea"
"220","Kuwait"
"221","Laos"
"222","Lebanon"
"224","Malaysia"
"226","Mongolia"
"227","Nepal"
"228","Oman"
"229","Pakistan"
"231","Philippines"
"233","Saudi Arabia"
"234","Singapore"
"236","Sri Lanka"
"237","Syria"
"238","Taiwan"
"239","Thailand"
"240","Turkey"
"241","United Arab Emirates"
"242","Vietnam"
"252","Middle East"
"256","West Bank"
"300","Bermuda"
"301","Canada"
"302","Greenland"
"310","Belize"
"311","Costa Rica"
"312","El Salvador"
"313","Guatemala"
"314","Honduras"
"315","Mexico"
"316","Nicaragua"
"317","Panama"
"318","Central America"
"330","Anguilla"
"331","Antigua & Barbuda"
"332","Aruba"
"333","Bahamas"
"334","Barbados"
"335","British Virgin Islands"
"336","Cayman Islands"
"337","Cuba"
"338","Dominica"
"339","Dominican Republic"
"340","Grenada"
"341","Guadeloupe"
"342","Haiti"
"343","Jamaica"
"344","Martinique"
"345","Montserrat"
"346","Netherlands Antilles"
"347","St Barthelemy"
"348","St Kitts-Nevis"
"349","St Lucia"
"350","St Vincent & The Grenadines"
"351","Trinidad & Tobago"
"352","Turks & Caicos Islands"
"353","Caribbean"
"354","Antilles"
"358","West Indies"
"359","Windward Islands"
"375","Argentina"
"376","Bolivia"
"377","Brazil"
"378","Chile"
"379","Colombia"
"380","Ecuador"
"383","Guyana"
"384","Paraguay"
"385","Peru"
"387","Uruguay"
"388","Venezuela"
"389","South America"
"400","Algeria"
"401","Angola"
"409","Cape Verde"
"410","Central African Republic"
"415","Egypt"
"419","Gabon"
"421","Ghana"
"423","Guinea"
"427","Kenya"
"432","Malawi"
"433","Mali"
"436","Morocco"
"437","Mozambique"
"440","Nigeria"
"444","Senegal"
"446","Seychelles"
"449","South Africa"
"451","Sudan"
"452","Swaziland"
"453","Tanzania"
"456","Tunisia"
"457","Uganda"
"460","Zambia"
"461","Zimbabwe"
"462","Africa"
"501","Australia"
"502","Christmas Island"
"505","Cook Islands"
"507","Fiji"
"508","French Polynesia"
"511","Micronesia"
"514","New Zealand"
"518","Papua New Guinea"
"526","Western Samoa"
"550","Antarctica"
