Census 2000,2007 NAICS Code
017,111
018,112
019,"1131, 1132"
027,1133
028,114
029,115
037,211
038,2121
039,2122
047,2123
048,21
049,213
057,2211
058,2212
059,"2211, 2212"
067,"22131, 22133"
068,22132
069,22
077,23
107,"3111, 3112"
108,3113
109,3114
117,3115
118,3116
119,311811
127,3118
128,"3117, 3119"
129,311
137,3121
139,3122
147,3131
148,3132
149,3133
157,31411
159,314
167,"31324, 3151"
168,3152
169,3159
177,3162
179,"3161, 3169"
187,3221
188,32221
189,"32222,32223, 32229"
199,3231
207,32411
209,32419
217,3252
218,3253
219,3254
227,3255
228,3256
229,"3251, 3259"
237,3261
238,32621
239,"32622, 32629"
247,32711
248,32712
249,3272
257,"3273, 3274"
259,3279
267,"3311, 3312"
268,3313
269,3314
277,3315
278,3321
279,3322
287,"3323, 3324"
288,3327
289,3328
297,"332992, 332993, 332994, 332995  "
298,"3325, 3326, 3329"
299,"331, 332"
307,33311
308,"33312, 33313"
309,3333
317,3335
318,3336
319,"3332, 3334, 3339"
329,333
336,3341
337,"3342, 3343"
338,3345
339,"3344, 3346"
347,3352
349,"3351, 3353, 3359"
357,"3361, 3362, 3363"
358,"336411, 336412, 336413"
359,"336414, 336415, 336419"
367,3365
368,3366
369,3369
377,3211
378,3212
379,"321991, 321992"
387,3219
389,337
396,3391
397,"33992, 33993"
398,3399
399,"31, 32, 33"
407,4231
408,4232
409,4233
417,4234
418,4235
419,4236
426,4237
427,4238
428,42393
429,4239
437,4241
438,"4242, 4246"
439,4243
447,4244
448,4245
449,4247
456,4248
457,42491
458,4249
459,42
467,4411
468,4412
469,4413
477,442
478,443111
479,"443112, 44312"
487,4441
488,44413
489,4442
497,4451
498,4452
499,4453
507,44611
508,446
509,447
517,4481
518,44821
519,4483
527,"44313, 45111, 45112"
528,45113
529,"45114, 45122"
537,45121
538,45211
539,4529
547,4531
548,45321
549,4533
557,45322
558,4539
559,454111
567,4542
568,45431
569,45439
579,"44, 45"
607,481
608,482
609,483
617,484
618,"4851, 4852, 4854, 4855, 4859 "
619,4853
627,486
628,487
629,488
637,491
638,492
639,493
647,51111
648,5111
649,5112
657,5121
659,5122
667,515
668,5171
669,517
677,51912
678,5191
679,5182
687,"521, 52211,52219"
688,"52212, 52213"
689,"5222, 5223"
697,"523, 525"
699,524
707,531
708,5321
717,53223
718,"53221, 53222, 53229, 5323"
719,"5324, 533"
727,5411
728,5412
729,5413
737,5414
738,5415
739,5416
746,5417
747,5418
748,54194
749,5419
757,55
758,5613
759,5614
767,5615
768,5616
769,5617
777,56173
778,"5611, 5612, 5619"
779,562
786,6111
787,"6112, 6113"
788,"6114, 6115"
789,"6116, 6117"
797,6211
798,6212
799,62131
807,62132
808,6213
809,6214
817,6216
818,"6215, 6219"
819,622
827,6231
829,"6232, 6233, 6239"
837,6241
838,6242
839,6243
847,6244
856,711
857,712
858,71395
859,713
866,7211
867,"7212, 7213"
868,722
869,7224
877,8111
878,811192
879,8112
887,8113
888,8114
889,81143
897,812111
898,812112
899,"812113, 81219"
907,8123
908,8122
909,8129
916,8131
917,"8132, 8133, 8134"
918,81393
919,8139
929,814
937,"92111, 92112, 92114, 92115"
938,92113
939,92119
947,"922, 92115"
948,923
949,"924, 925"
957,"926, 927"
959,928
967,928110
968,928110
969,928110
977,928110
978,928110
979,928110
987,928110
992,
