INDTITLE,IND_2000
A.A.A. (American Automobile Association),767
A.B.C. Liquor (ret.),499
A.D.T. (American District Telegraph),768
A.F. of L. (American Federation of Labor),918
"A.S.C.A.P. (American Society of Composers, Artists and Publishers)",919
AFDC (Aid to families with dependent children),837
ATM's (automatic teller machines) (mfg.),336
Abalone boat,028
Abalone processing (mfg.),128
Abattoir (mfg.),118
Abdominal supports (mfg.),396
Abortion clinic,809
Abrasion testing machines (mfg.),338
Abrasive bricks (mfg.),259
Abrasive cloth (mfg.),259
"Abrasive disks, dental (mfg.)",396
"Abrasive disks, exc. dental (mfg.)",259
Abrasive grains (mfg.),259
"Abrasive grinding wheels, dental (mfg.)",396
"Abrasive grinding wheels, exc. dental (mfg.)",259
Abrasive paper (mfg.),259
"Abrasive points, dental (mfg.)",396
"Abrasive points, exc. dental (mfg.)",259
Abrasive sand dredge (ext.),047
Abrasive sticks (mfg.),259
Abrasive stones (mfg.),259
Abrasive tools (mfg.),259
"Abrasive wheels, dental (mfg.)",396
"Abrasive wheels, exc. dental (mfg.)",259
Abrasives (whsl.),427
Absorbent cotton (mfg.),396
Absorbent paper (mfg.),187
Abstract office,727
Abuse center,838
Academic caps (mfg.),168
Academic gowns (mfg.),168
Academic tutoring services,789
"Academies, riding instruction",789
Academy of Sciences,746
"Academy, college or university",787
"Academy, elementary or secondary",786
"Academy, junior college",787
"Acceleration equipment, auto (mfg.)",357
Accelerometers (mfg.),338
Acceptance co.,689
"Accessories, apparel (mfg.)",169
"Accessories, apparel (ret.)",517
"Accessories, apparel (whsl.)",439
Accident insurance,699
Accidental death and dismemberment insurance,699
Accidental death insurance,699
Accordion parts (mfg.),398
Accordions (mfg.),398
"Account books, printing (mfg.)",199
"Account books, publishing and printing",648
Accountant's office,728
"Accountant's office, exc. CPA",728
"Accounting firm, CPA",728
"Accounting firm, exc. CPA",728
Accounting forms (ret.),548
Accounting machines (mfg.),309
Accounting machines (whsl.),417
"Accounting service, CPA",728
"Accounting service, exc. CPA",728
"Accumulators, aircraft propeller (mfg.)",358
Acetate broad woven fabric (mfg.),148
Acetate fibers (mfg.),217
Acetic acid (mfg.),229
Acetylene cylinders (mfg.),287
Acetylene gas (mfg.),229
Acetylene gas (whsl.),438
Acetylene welding equipment (mfg.),319
Acid oil (mfg.),207
"Acid waste, collection and disposal",779
Acidity measuring instruments (mfg.),338
Acidizing oil wells (ext.),049
Acidophilus milk (mfg.),117
Acids (mfg.),229
Acids (whsl.),438
"Acoustical board, mineral wool (mfg.)",259
Acoustical plaster (mfg.),257
Acoustical soundproofing (const.),077
"Acoustical suspension systems, metal (mfg.)",287
Acoustical tile (mfg.),259
Acoustical work (const.),077
Acrilan fabrics (mfg.),148
Acrilan fibers (mfg.),217
Acrylic broad woven fabric (mfg.),148
Acrylic fibers (mfg.),217
Activated carbon (mfg.),229
Activated charcoal (mfg.),229
"Activity center, disabled, elderly, and mentally handicapped",837
Actors,856
Actuarial bureau,739
Actuary's office,739
Acupuncture,808
"Adding machine rolls, paper (mfg.)",189
Adding machines (mfg.),309
Adding machines (ret.),548
Adding machines (whsl.),417
Address list compilers,648
Address list publishers,648
Addressing machines (mfg.),309
Addressing machines (whsl.),417
Addressing service,759
Addressograph plates (mfg.),309
Adhesive paste (mfg.),227
Adhesive plaster (mfg.),396
"Adhesive tape, cellophane (mfg.)",189
"Adhesive tape, medical (mfg.)",396
"Adhesives, rubber cement (mfg.)",227
"Adjustment bureau, exc. insurance",759
"Adjustment bureau, insurance",699
Adoption agency,837
Adoption center,837
Adoption service,837
"Adult education--See ""School night""",
Adult sitter service,837
Advertising \ n.s.,747
Advertising agency,747
Advertising billboard,747
Advertising company,747
"Advertising copy, writers of",747
Advertising curtains (mfg.),398
"Advertising displays, exc. printed (mfg.)",398
"Advertising displays, printed (mfg.)",199
"Advertising news, advertising or distributing",747
Advertising novelties (mfg.)--Code by product produced,
Advertising novelties (whsl.),458
Advertising novelties \ n.s. (mfg.),398
Advertising posters (mfg.),199
Advertising specialties (mfg.)--Code by product produced,
Advertising specialties \ n.s. (mfg.),398
"Advertising specialty, e.g., keychain, magnet, pen",747
"Advertising, aerial",747
"Advertising, outdoor",747
"Advisory commisions, government",937
Adzes (mfg.),279
Aerial advertising,747
Aerial ambulance service,818
Aerial cameras (mfg.),309
Aerial dusting,029
Aerial fruit spraying,029
Aerial geophysical exploration (ext.),729
Aerial map service,729
Aerial photography co.,749
Aerial seed sowing,029
Aerial spraying,029
Aerial surveying,729
"Aerial tramway, scenic and sightseeing, operation",628
Aerial tree seeding,019
Aerobic dancing,859
Aeronautical equipment and supplies (whsl.),427
Aeronautical instruments (mfg.),338
"Aerosel can filling, on a job order or contract basis",229
Aerosol cans (mfg.),287
"Aerosol valves, exc. metal (mfg.)",237
"Aerosol valves, metal (mfg.)",298
Aerospace (mfg.),359
After-care home,829
Aftercoolers (mfg.),287
Agate (ext.),047
Agency magazine subscription (ret.),569
"Agency, adoption",837
"Agency, advertising",747
"Agency, artists'",856
"Agency, authors'",856
"Agency, business",759
"Agency, business loan",689
"Agency, child placement",837
"Agency, collection",759
"Agency, credit",759
"Agency, detective",768
"Agency, employment \ any not listed",758
"Agency, employment, babysitting",758
"Agency, employment, commercial",758
"Agency, employment, motion picture",758
"Agency, employment, radio and television",758
"Agency, employment, social escort",909
"Agency, employment, theatrical",758
"Agency, farm loan",689
"Agency, foreign exchange",697
"Agency, insurance",699
"Agency, literary",856
"Agency, modeling",856
"Agency, musicians'",758
"Agency, patent",727
"Agency, photography",856
"Agency, playwrights'",758
"Agency, real estate",707
"Agency, shipping",629
"Agency, theatrical",758
"Agency, theatrical employment",758
"Agency, travel",767
Aggregate (ext.),047
Aggregate spreaders (mfg.),308
"Agreement corporation, exc. international trade financing",757
"Agreement corporation, international financing",689
Agricultural college \ any not listed,787
"Agricultural college, experimental station",746
Agricultural credit institution,689
Agricultural disinfectants (mfg.),218
"Agricultural dusters, mechanical (mfg.)",307
Agricultural experimental station,746
Agricultural extension service,957
Agricultural hand sprayers (mfg.),307
Agricultural hand tools (mfg.),279
Agricultural hormones (mfg.),218
Agricultural implements (mfg.),307
Agricultural implements (ret.),489
Agricultural implements (whsl.),427
Agricultural insecticides (mfg.),218
Agricultural insurance co.,699
Agricultural lime (mfg.),257
Agricultural lime hauling and spreading,029
Agricultural limestone (whsl.),457
Agricultural loan co.,689
Agricultural machinery (mfg.),307
Agricultural machinery (whsl.),427
Agricultural pesticides (mfg.),218
Agricultural research,746
Agricultural services,029
"Agricultural spraying, aerial",029
Agricultural tractors (mfg.),307
"Agriculture, exc. livestock",017
"Agriculture, livestock",018
Aid to Families with Dependent Children (AFDC),837
Air ambulance service,818
"Air brakes, auto (mfg.)",357
"Air brakes, railway (mfg.)",367
"Air brushes, artists' (mfg.)",398
"Air cargo carriers, nonscheduled",607
"Air cargo carriers, scheduled",607
Air circuit breakers (mfg.),349
"Air cleaners, auto (mfg.)",357
Air compressor service (const.),077
Air compressors (mfg.),319
Air conditioners and heaters (mfg.),319
"Air conditioners, auto (mfg.)",357
"Air conditioners, room (ret.)",478
Air conditioning contracting (const.),077
Air conditioning equipment (ret.),487
"Air conditioning equipment, household (whsl.)",419
"Air conditioning equipment, including commercial (whsl.)",426
Air conditioning units (mfg.),319
Air couriers,638
Air express,638
Air filters (mfg.),319
Air freight carriers,607
Air freight handling,629
Air intake filters (mfg.),319
Air mail carriers,607
Air purification equipment (mfg.),319
Air rescue service,818
Air rifles (mfg.),297
Air separators (mfg.),319
Air speed indicators (mfg.),338
Air taxi,607
Air traffic control radar systems (mfg.),338
"Air traffic control services, exc. military",629
"Air traffic control services, military",959
Air transportation,607
Airboat rides,628
Aircraft (mfg.),358
Aircraft (ret.),468
Aircraft (whsl.),427
Aircraft accessories (ret.),468
Aircraft accessories (whsl.),427
Aircraft actuators (mfg.),319
Aircraft ailerons (mfg.),358
Aircraft air scoops (mfg.),358
Aircraft alighting assemblies (mfg.),358
Aircraft altimeters (mfg.),338
"Aircraft armament, exc. guns (mfg.)",358
"Aircraft armament, guns (mfg.)",297
Aircraft assemblies (mfg.),358
Aircraft beaching gear (mfg.),358
Aircraft body assemblies (mfg.),358
Aircraft cleaning and janitorial service,769
Aircraft control systems (mfg.),338
Aircraft crankshafts (mfg.),358
Aircraft dismantling (whsl.),428
Aircraft dusting and spraying equipment (mfg.),358
Aircraft engine conversion,358
Aircraft engine heaters (mfg.),358
Aircraft engine parts (mfg.),358
Aircraft engines (mfg.),358
"Aircraft engines, factory overhaul",358
Aircraft equipment and supplies (whsl.),427
Aircraft exhaust systems (mfg.),358
Aircraft external power units (mfg.),358
Aircraft flight aids (mfg.),358
Aircraft flight instruments (mfg.),338
"Aircraft floor coverings, woven (mfg.)",157
Aircraft fueling service (whsl.),449
Aircraft fuselage (mfg.),358
Aircraft gas turbines (mfg.),358
Aircraft gears (mfg.),358
Aircraft generators (mfg.),358
Aircraft hardware (mfg.),298
Aircraft instruments (mfg.),338
Aircraft landing gear (mfg.),358
Aircraft loading hoists (mfg.),319
Aircraft lubrication systems (mfg.),358
Aircraft modification (mfg.),358
Aircraft nacelles (mfg.),358
Aircraft panel assemblies (mfg.),358
Aircraft parking or storage,629
Aircraft parts (mfg.),358
Aircraft power transmission equipment (mfg.),358
Aircraft propellers (mfg.),358
Aircraft repair shop,629
"Aircraft repair, factory overhaul or conversion",358
"Aircraft repairing, exc. factory overhaul or conversion",629
Aircraft research and development,746
"Aircraft seat belts, exc. leather (mfg.)",358
"Aircraft seat belts, leather (mfg.)",179
Aircraft seats (mfg.),357
"Aircraft strap assemblies, exc. leather (mfg.)",357
"Aircraft strap assemblies, leather (mfg.)",179
Aircraft struts (mfg.),358
"Aircraft subassemblies, exc. fluid power or hydraulic (mfg.)",358
Aircraft valves (mfg.),358
"Aircraft wire and cable, nonferrous (mfg.)",269
"Airducts, sheet metal (mfg.)",287
Airframe assemblies (mfg.),358
Airframes (mfg.),358
Airline caterer,868
Airline food service,868
Airline school,788
Airline terminal,629
Airline ticket office,767
Airlines,607
Airlocks (mfg.),287
Airplane brake expanders (mfg.),358
"Airplane cloth, cotton (mfg.)",148
Airplane dope (mfg.),227
Airplane empannage (mfg.),358
Airplane engines (mfg.),358
Airplane fuel cells (mfg.),358
Airplane fuselage (mfg.),358
Airplane inner tubes (mfg.),238
Airplane models (mfg.),397
Airplane repair shop,629
Airplane security service,768
Airplane service,629
Airplane tires (mfg.),238
"Airplanes, exc. toy (mfg.)",358
"Airplanes, toy (mfg.)",397
Airport,629
Airport (const.),077
Airport construction machinery (mfg.),308
Airport dining room (ret.),868
Airport lighting transformers (mfg.),349
Airport security service,768
Airport terminal services,629
Airport transportation service,618
Airships (mfg.),358
Alabaster (ext.),047
Alarm signal service,768
Alarm signal systems (whsl.),419
"Albums (e.g. photo, scrap) (mfg.)",199
"Alcohol, denatured (mfg.)",229
"Alcohol, grain, exc. industrial (mfg.)",137
"Alcohol, grain, industrial (mfg.)",229
"Alcohol, industrial (mfg.)",229
"Alcohol, industrial (whsl.)",438
"Alcohol, wood (mfg.)",229
Alcoholic beverage drinking places,869
Alcoholic cordials (mfg.),137
Alcoholic sanitarium,827
Alcoholics anonymous,837
"Alcoholism counseling center, exc. medical treatment",837
Alcoholism information centers,837
Alcoholism rehabilitation center,829
Alcoholism self-help organizations,837
Alcoholism treatment center \ any not listed,809
"Alcoholism treatment center, hospital",819
"Alcoholism treatment center, outpatient",809
Ale (mfg.),137
Alfalfa baling,029
Alfalfa dehydrating (mfg.),107
Alfalfa feed (mfg.),107
Alfalfa hay farm,017
Alfalfa meal (mfg.),107
Alfalfa mill (mfg.),107
Alidades (mfg.),338
Alkali metals (mfg.),229
Alkalies (mfg.),229
Alkaline cell storage batteries (mfg.),349
Alkalinity measuring instruments (mfg.),338
Alkylates (mfg.),207
All Terrain Vehicles (ATV) (whsl.),407
Alley (const.),077
Alloys (mfg.),269
Almond pastes (mfg.),128
Alpaca (mfg.),148
"Altars, cut stone (mfg.)",259
"Altars, marble (mfg.)",259
"Alteration and repair shop, with cleaning",907
"Alteration and repair shop, without cleaning",888
Altitude testing chambers (mfg.),319
Alum (ext.),047
Alum (mfg.),229
Alumina (mfg.),268
Alumina refractories (mfg.),248
Aluminum (ext.),039
Aluminum \ n.s. (mfg.),268
Aluminum anodizing,289
Aluminum atomized powder (mfg.),268
Aluminum awnings (mfg.),287
Aluminum bars (mfg.),268
Aluminum bars (whsl.),418
Aluminum brads (mfg.),268
Aluminum cable (mfg.),268
Aluminum canopies (mfg.),287
Aluminum castings (mfg.),277
Aluminum chloride (mfg.),229
Aluminum clip boards (mfg.),278
Aluminum coating of metal products (mfg.),289
Aluminum coils (mfg.),268
Aluminum combination windows (mfg.),287
Aluminum compounds (mfg.),229
"Aluminum cooking utensils, cast (mfg.)",277
"Aluminum cooking utensils, exc. cast (mfg.)",278
Aluminum die castings (mfg.),277
Aluminum extruded shapes (mfg.),268
Aluminum extruding (mfg.),268
Aluminum foil (mfg.),268
Aluminum forgings (mfg.),278
Aluminum foundries (mfg.),277
Aluminum hydroxide (mfg.),229
Aluminum ingots (mfg.),268
Aluminum ore (ext.),039
Aluminum oxide (mfg.),268
Aluminum oxide abrasives (mfg.),259
Aluminum paint (mfg.),227
Aluminum pigs (mfg.),268
Aluminum pipe (mfg.),268
Aluminum plates (mfg.),268
Aluminum precipitation plant (ext.),039
"Aluminum production, primary (mfg.)",268
Aluminum rails (mfg.),268
"Aluminum recycling plant, cans",428
Aluminum reduction (mfg.),268
Aluminum refining (mfg.),268
Aluminum rods (mfg.),268
Aluminum rolling and drawing (mfg.),268
Aluminum sheets (mfg.),268
Aluminum sheets (whsl.),418
Aluminum shingles (mfg.),287
Aluminum siding (mfg.),287
Aluminum slugs (mfg.),268
Aluminum smelting (mfg.),268
Aluminum storm sash (mfg.),287
Aluminum sulfate (mfg.),229
Aluminum tubing (mfg.),268
"Aluminum utensils, cast (mfg.)",277
"Aluminum utensils, exc. cast (mfg.)",278
Aluminum ware (ret.),477
Aluminum ware (whsl.),408
"Aluminum ware, cast (mfg.)",277
"Aluminum ware, exc. cast (mfg.)",278
Aluminum window frames (mfg.),287
Aluminum wire (mfg.),268
Alumni Association,917
AmVets (American Veterans of World War II),917
Ambulance baskets (mfg.),298
Ambulance bodies (mfg.),357
Ambulance service,818
"Ambulance service, air or ground",818
Ambulances (mfg.),357
Ambulances (whsl.),407
Ambulatory Surgical Center,809
American Automobile Association,767
American Cancer Society \ n.s.,917
"American Cancer Society, fund raising",917
"American Cancer Society, research",746
American District Telegraph,768
American Express Co.,689
American Federation of Labor,918
American Heart Association \ n.s.,917
"American Heart Association, fund raising",917
"American Heart Association, research",746
American Indian or Alaska Native \ n.s.,937
American Indian or Alaska Native businesses--Code by type of business,
American Indian or Alaska Native tribal council,937
American Indian or Alaska Native tribal courts,947
American Indian or Alaska Native tribal police,947
American Legion,917
American Legion Club,917
American Red Cross,917
American Veterans of World War II,917
Americanization School,789
Ames Research Center,746
Amesite (ext.),047
Amethyst (ext.),047
Ammeters (mfg.),338
Ammonia (whsl.),438
Ammonia alum (mfg.),229
Ammonia liquor (mfg.),218
"Ammonia, exc. household (mfg.)",229
"Ammonia, household (mfg.)",228
Ammonium chloride (mfg.),229
Ammonium compounds (mfg.),229
Ammonium hydroxide (mfg.),229
Ammonium sulphate (mfg.),218
Ammunition (ret.),527
Ammunition (whsl.),429
